odid	tag	count
20100	heath ladger	1
20100	heath ledger	125
20100	heath ledger - lifetime role	1
20100	heath ledger as the joker	5
20100	i love movies top pick	1
20100	iconic	1
20100	imax	1
20100	imax dmr	1
20100	imdb top 250	15
20100	intriguing	1
20100	involving action	1
20100	james newton howard	1
20100	joker	11
20100	joker is cool	1
20100	jokes	1
20100	killing	1
20100	legendary	1
20100	long	2
20100	madness	2
20100	maggie gyllenhaal	12
20100	mask	2
20100	michael caine	44
20100	morality	1
20100	morgan freeman	63
20100	movie to see	1
20100	moviepig top pick	1
20100	murder	7
20100	music	17
20100	no	1
20100	nocturnal	2
20100	non screaming gary oldman	1
20100	nostalgia critic's top 20	1
20100	not mark hamill	1
20100	notable:motorcycle	1
20100	oscar (best supporting actor)	20
20100	overrated	4
20100	owned	1
20100	partially photographed in imax	1
20100	persistence	1
20100	pg13	1
20100	poorly casted lead actress	1
20100	pseudo rated	1
20100	psychological	2
20100	psychological thriller	2
20100	psychology	49
20100	quotable movie!	1
20100	quotes	2
20100	racing	1
20100	realistic	2
20100	samurai	2
20100	scars	1
20100	seamless	1
20100	seen more than once	1
20100	self-sacrifice	1
20100	sequel	1
20100	serial killer	34
20100	setting:chicago	1
20100	shallow	1
20100	smart	1
20100	so good	1
20100	soundtrack	1
20100	story	1
20100	stylized	25
20100	sufficiently explodey to be good	1
20100	super hero	4
20100	superhero	97
20100	supervillain	2
20100	sure thing	1
20100	tediously long	1
20100	the joker	1
20100	threatening villain	1
20100	thriller	33
20100	to see	1
20100	too long	1
20100	too violent	1
20100	tough choices	1
20100	unrealistic	1
20100	unsatisfying ending	1
20100	vigilante	31
20100	vigilante justice	1
20100	vigilantism	4
20100	villain steals the show	1
20100	villain:the joker	2
20100	villain:the scarecrow	1
20100	villain:two-face	1
20100	violence	31
20100	violent	22
20100	violent disturbing	1
20100	widespread cellphone-based surveillance	1
20100	Â∞è‰∏ë	1
60100	abuse	1
60100	acting	2
60100	action	4
60100	adventure	8
60100	aliens	1
60100	annoying kid	3
60100	bad acting	4
60100	bast background universe	3
60100	bd-video	1
60100	big budget	1
60100	boring	1
60100	child acting	2
60100	childish	2
60100	complex script	2
60100	desert	7
60100	dimensionalized 2-d to 3-d for reissue in 2012	1
60100	directing is bad	1
60100	divx	1
60100	divx1	1
60100	dvd	3
60100	dvd-video	1
60100	dynamic cgi action	1
60100	epic final battle	3
60100	ewan mcgregor	21
60100	excessive cgi	1
60100	fantasy	19
60100	far future	1
60100	franchise	11
60100	futuristmovies.com	1
60100	galactic	1
60100	gambling	1
60100	gary rydstrom	1
60100	george lucas	25
60100	great soundtrack	1
60100	ian mcdiarmid	1
60100	infantile	1
60100	itaege	1
60100	jake lloyd	1
60100	jar jar binks	21
60100	john goodson	1
60100	joseph campbell's study of mythology influenced	2
60100	kid anakin	1
60100	liam neeson	13
60100	lightsaber duel	1
60100	lightsabers	1
60100	lucas	2
60100	merchandising	1
60100	music	2
60100	mystic warriors	2
60100	natalie portman	29
60100	not as good as original	1
60100	not subtle	1
60100	original plot	3
60100	oscar nominee: sound effects editing	1
60100	overly dramatic	1
60100	plot	1
60100	prequel	3
60100	pseudo rated	1
60100	ray park	2
60100	robots	11
60100	samuel l. jackson	19
60100	saturn award (best special effects)	3
60100	sci-fi	42
60100	script	1
60100	seen at the cinema	3
60100	seen more than once	1
60100	sequel	5
60100	series	1
60100	silly	1
60100	soundtrack	1
60100	space	27
60100	space opera	8
60100	spacecraft	1
60100	spaceflight	1
60100	special effects	4
60100	stanley kubrick	2
60100	star wars	42
60100	starship pilots	2
60100	terrible dialogue	2
60100	terrible director	1
60100	the chosen one	2
60100	the force	1
60100	the original is better	1
60100	unfunny	1
60100	unimaginative	1
60100	visually appealing	1
60100	young anakin	1
70100	2	1
70100	3-12-2006	1
70100	action	8
70100	action/comedy	1
70100	adventure	26
70100	amazing!!!!!	1
70100	anti-hero	5
70100	better than original	2
70100	big budget	6
70100	bill nighy	1
70100	bob*ola	1
70100	brett northcutt	1
70100	cinematographer:dariusz wolski	1
70100	cliffhanger	2
70100	comedy	14
70100	davey jones	1
70100	definitley not as good as first	2
70100	demonic themes	1
70100	disney	1
70100	erlend's dvds	1
70100	excellent	1
70100	fantasy	1
70100	funny	7
70100	ghosts/afterlife	3
70100	gore verbinski	2
70100	jack davenport	3
70100	jack sparrow	1
70100	johnny depp	56
70100	keira knightley	26
70100	lackluster plot	2
70100	legendary figures	1
70100	monster:giant cephalopod	1
70100	naomie harris	1
70100	need to buy	1
70100	nyong	1
70100	ocean	1
70100	orlando bloom	19
70100	pirates	47
70100	ready for sequel	2
70100	romantic	5
70100	sea	1
70100	seafaring	10
70100	seen more than once	2
70100	sequel	7
70100	sequels	6
70100	sequels filmed simultaneously	4
70100	ship	1
70100	shipwrecks	1
70100	soundtrack	1
70100	stellan skarsgard	2
70100	swashbuckler	5
70100	sword fight	3
70100	swords	1
70100	thriller	6
70100	tom hollander	1
70100	torrential downpour	1
70100	treasure	5
70100	unnecessary sequel	2
70100	want it	1
70100	waste of time	1
70100	watched 2006	1
90100	absurd	2
90100	action	12
90100	ambition	1
90100	audience intelligence underestimated	6
90100	bad plot	10
90100	based on a tv show	2
90100	bd-video	1
90100	better method ai	1
90100	big budget	1
90100	bob*ola	1
90100	boring	2
90100	brett northcutt	1
90100	cgi	5
90100	character development	1
90100	childish	1
90100	cinematography	1
90100	comedy	2
90100	comic book	2
90100	confusing	3
90100	crude humor	2
90100	direction	1
90100	egypt	2
90100	epic	1
90100	excellent fxs	2
90100	explosions	1
90100	franchise	2
90100	funny	1
90100	humanlike robots	3
90100	imax dmr	1
90100	john turturro	2
90100	josh duhamel	1
90100	long	3
90100	long length	1
90100	loud	1
90100	lowest common denominator	1
90100	megan fox	11
90100	michael bay	7
90100	military	2
90100	needed more autobots	2
90100	partially photographed in imax	1
90100	plot	1
90100	plot holes	8
90100	racist	2
90100	ridiculous	10
90100	ridiculus	1
90100	robots	18
90100	sci-fi	3
90100	screenplay	1
90100	sequel	5
90100	shia labeouf	8
90100	shiny	1
90100	silly	7
90100	soundscape	1
90100	special effects	4
90100	stop using useless characters for filler	4
90100	story	1
90100	sufficiently explodey to be good	3
90100	surreal	1
90100	ugly	1
140100	55 movies every kid should see--entertainment weekly	1
140100	90s classic	1
140100	[bug„Ç‚ø] do you think that ml cares about the bugs related to acc„É‚©nted characters?	1
140100	[bug„Ç‚ø] if it is tru„É‚© that impossible to delete tags „¢??those with accents for example „¢?? br	1
140100	[bug„Ç‚ø] „Ñ‚∞s it true that tags that can„É‚±ot be deleted make it impossible to view other t„É‚£gs	1
140100	a classic	1
140100	action	32
140100	action classic	1
140100	action thriller	1
140100	adapted from:book	2
140100	adventure	50
140100	afi 100 (thrills)	1
140100	amazing cgi	1
140100	amazing fx	1
140100	annoying kids	1
140100	apocalyptic	1
140100	author:michael crichton	3
140100	bad hollywood science	1
140100	bad science	1
140100	based on a book	21
140100	based on book	1
140100	bd-video	1
140100	big budget	2
140100	biology	1
140100	blockbuster	1
140100	book	1
140100	book adaptation	1
140100	boooo	2
140100	business is the antagonist	1
140100	buy	1
140100	cav	1
140100	cgi	3
140100	chaos	1
140100	characters	1
140100	cheesy	1
140100	childish	1
140100	children	7
140100	classic	1
140100	cloning	17
140100	cool but freaky	1
140100	creepy	1
140100	cult	1
140100	death	1
140100	design	1
140100	deus ex machina	1
140100	dimensionalized 2-d to 3-d for reissue in 2013	1
140100	dinnosaurs	1
140100	dinosaur	7
140100	dinosaurs	110
140100	dinosaurs gone wild	1
140100	divx1	1
140100	drama	7
140100	drive in	1
140100	dynamic cgi action	3
140100	effects	2
140100	egg	1
140100	entertaining	1
140100	exciting	1
140100	experiments gone awry	1
140100	explanation	1
140100	family	4
140100	fantasy	1
140100	foqam	1
140100	franchise	3
140100	from novel	1
140100	fun	1
140100	funny	5
140100	futuristmovies.com	1
140100	genetics	29
140100	gmo	1
140100	good for a rainy day if there is nothing on the box	1
140100	good fx	1
140100	great soundtrack	1
140100	groundbreaking effects	1
140100	happy end	1
140100	herds of cgi animals	1
140100	horror	11
140100	humorous	2
140100	ian's fav	1
140100	illogical	1
140100	imax dmr 3-d reissue in 2013	1
140100	implausible	1
140100	intense	1
140100	intense action	1
140100	island	2
140100	jeff goldblum	22
140100	john williams	5
140100	jurassic park	1
140100	laura dern	5
140100	low sf	1
140100	mainstream	1
140100	menacing	1
140100	michael chrichton	1
140100	michael crichton	20
140100	mistakes	1
140100	monsanto	1
140100	nostalgia	2
140100	not for kids	1
140100	not that good	1
140100	ominous	1
140100	oscar (best effects - sound effects editing)	1
140100	oscar (best effects - visual effects)	22
140100	oscar (best sound)	1
140100	oscar winner	3
140100	outdated	1
140100	pg-13:sci-fi action violence	1
140100	popcorn	1
140100	power outage	1
140100	predictable	1
140100	prehistoric fantasy	1
140100	pseudoscience	1
140100	rate	1
140100	rated from memory	1
140100	rawr	1
140100	read the book	1
140100	richard attenborough	5
140100	sam neill	9
140100	samuel l. jackson	3
140100	saturn award (best director)	1
140100	saturn award (best science fiction film)	3
140100	saturn award (best special effects)	2
140100	saturn award (best writing)	2
140100	save the kids	1
140100	scary	4
140100	scenic	10
140100	sci-fi	58
140100	science	13
140100	science fiction	1
140100	scifi	4
140100	seen at the cinema	1
140100	sequel	1
140100	shallow plot	1
140100	simple plot	1
140100	slick	1
140100	special effects	5
140100	speilberg	1
140100	spielberg	1
140100	spielberg/lucas	1
140100	steven speilberg	1
140100	steven spielberg	66
140100	stylized	5
140100	suspense	20
140100	tense	6
140100	the best of jurassic park	1
140100	theme park	1
140100	thriller	9
140100	thrilling	1
140100	true story	1
140100	tumey's dvds	1
140100	tx	1
140100	tyrannosaurus rex	3
140100	t„©a leoni does not star in this movie	1
140100	usa	1
140100	velocoraptors	1
140100	very good for kids and adults	1
140100	violence	6
140100	want to see again	1
140100	wayne knight	2
140100	wonder	2
160100	55 movies every kid should see--entertainment weekly	1
160100	=========================	1
160100	andrew stanton	1
160100	animals	5
160100	animated	4
160100	animation	51
160100	anthropomorphized animals	1
160100	anxiety	2
160100	bd-video	1
160100	birds	4
160100	boring	2
160100	cartoon	1
160100	cgi	5
160100	characters	1
160100	children	12
160100	classic	5
160100	comedy	10
160100	coming of age	2
160100	cute	1
160100	cutesy	1
160100	dentist	1
160100	dimensionalized 2-d to 3-d for reissue in 2012	1
160100	disney	30
160100	disney animated feature	5
160100	divx1	1
160100	dvd	2
160100	ellen degeneres	2
160100	eric bana	1
160100	erlend's dvds	1
160100	escapist	1
160100	family	6
160100	family bonds	4
160100	father-son relationship	15
160100	favorite	1
160100	feel good movie	4
160100	film noir	3
160100	fish	9
160100	friendship	4
160100	fun	1
160100	funny	22
160100	g	1
160100	heartwarming	8
160100	imdb top 250	2
160100	kids	1
160100	lost child	2
160100	memory lack	1
160100	memory loss	3
160100	mine	1
160100	mischievous children	1
160100	missing/kidnapped child	1
160100	my dvds	1
160100	my movies	1
160100	myfav	1
160100	nice	1
160100	not as good as shrek	1
160100	ocean	14
160100	orphaned cartoon character	1
160100	oscar (best animated feature)	5
160100	oscar winner	2
160100	overrated	1
160100	own	2
160100	owned	1
160100	pixar	75
160100	pixar animation	4
160100	predictable	4
160100	saturn award (best animated film)	1
160100	see: the spongebob squarepants movie	1
160100	seen at the cinema	1
160100	seen more than once	2
160100	shark	1
160100	sharks	1
160100	short-term memory loss	18
160100	singing	2
160100	soundtrack	1
160100	story	1
160100	sydney	1
160100	talking animals	15
160100	tears	1
160100	too cute	4
160100	touching	1
160100	tumey's dvds	1
160100	underwater	13
160100	very good	1
160100	vivid characters	1
160100	voice acting	1
160100	watched	1
170100	2-2-2008	1
170100	5.5-filmaffinity	1
170100	action	5
170100	adapted from:comic	7
170100	alter ego	7
170100	based on a comic	7
170100	bd-video	1
170100	below r	1
170100	big budget	4
170100	bore	1
170100	carjacking	1
170100	cheesy	4
170100	childish	1
170100	columbia pictures	2
170100	columbia university	1
170100	comic book	14
170100	comic book adaption	8
170100	dark side	1
170100	double life	1
170100	dynamic cgi action	1
170100	emo peter parker	1
170100	erlend's dvds	1
170100	franchise	1
170100	horrible	1
170100	imax dmr	1
170100	inexplicable music number	1
170100	infidelity	3
170100	jazz club	2
170100	jealousy	2
170100	jesus as satan	1
170100	kirsten dunst	12
170100	marvel	18
170100	meteor	1
170100	murder	3
170100	narcissism	1
170100	new york city	5
170100	over the top	1
170100	perrot library	1
170100	pg-13	2
170100	preachy	1
170100	revenge	5
170100	rushed	1
170100	sam raimi	4
170100	scope	1
170100	seen 2007	1
170100	sequel	4
170100	shit on a stick	1
170100	silly plot	2
170100	sivwalkedout	1
170100	so bad it's good	1
170100	stupid main character	1
170100	super hero	3
170100	super-hero	4
170100	superhero	18
170100	superheroes	3
170100	supernatural powers	3
170100	thomas haden church	1
170100	tobey maguire	5
170100	toby maquire	2
170100	tonal whiplash	1
170100	topher grace	2
170100	ummarti2007	1
170100	unfaithful to source material	1
170100	unfaithfulness in loving relations	1
170100	villains	1
170100	violence	1
170100	worst movie ever!	2
190100	2d animation	3
190100	55 movies every kid should see--entertainment weekly	1
190100	70mm	1
190100	africa	14
190100	animal characters	1
190100	animals	16
190100	animated	3
190100	animation	44
190100	avi	1
190100	baptism	1
190100	based on a tv show	1
190100	bd-video	1
190100	bearable disney	1
190100	beautiful music	1
190100	best disney movie	1
190100	bittersweet	1
190100	boring	1
190100	cartoon	1
190100	cav	1
190100	character driven	2
190100	characters	1
190100	childhood	7
190100	children	5
190100	classic	10
190100	clv	1
190100	coming of age	22
190100	desenho	1
190100	dimensionalized 2-d to 3-d for reissue in 2011	1
190100	disney	64
190100	disney animated feature	8
190100	disney renaissance	2
190100	disney's best	1
190100	dvd	1
190100	dvd-video	1
190100	educational	1
190100	elton john	2
190100	eric's dvds	1
190100	family	1
190100	father-son relationship	14
190100	favorite	1
190100	filme da minha vida	1
190100	for kids	1
190100	fratricide	1
190100	friendship	1
190100	fun	6
190100	good	1
190100	great	1
190100	hamlet	1
190100	hans zimmer	6
190100	hard to rate (personal)	1
190100	hasty	1
190100	hereditary patriarchy	1
190100	hippy	1
190100	holes90s	1
190100	ihq	1
190100	infantil	1
190100	inspirational	6
190100	itaege	1
190100	jeremy irons	3
190100	joseph campbell's study of mythology influenced	1
190100	kids	1
190100	lions	18
190100	literature	1
190100	matthew broderick	6
190100	meaningful	1
190100	might not like	1
190100	music	2
190100	musical	18
190100	nature of leadership	1
190100	oscar (best music - original score)	4
190100	oscar (best music - original song)	10
190100	ostensibly for kids but: prejudice:sexism; promotion of dictatorship	1
190100	own	1
190100	plagarized	1
190100	protagonist is royal	1
190100	rob minkoff	2
190100	roger allers	2
190100	rowan atkinson	5
190100	royalty	1
190100	satanically evil	1
190100	seen more than once	6
190100	sentimental	1
190100	soundtrack	10
190100	super 1.85 blow-up	1
190100	talking animals	13
190100	the circle of life	1
190100	timon and pumba	1
190100	too sad	1
190100	tumey's vhs	1
190100	very beautifull only problem is that the story is too short	1
190100	very good for kids	1
190100	visually stunning	1
190100	visuals	1
190100	want	1
190100	western animation	1
190100	whoopi goldberg	6
200100	adventure	1
200100	animation	2
200100	bad sequel	4
200100	below r	1
200100	big budget	1
200100	chris miller	1
200100	comdey	1
200100	comedy	2
200100	computer animation	2
200100	creativity	1
200100	dreamworks	4
200100	eddie murphy	1
200100	erlend's dvds	1
200100	franchise	32
200100	john cleese	2
200100	library	1
200100	mike myers	2
200100	movie to see	1
200100	ogres	1
200100	raman hui	1
200100	sequel	1
200100	shrek franchise	1
200100	talking animals	2
200100	watched	1
210100	27-12-2007	1
210100	80s nostalgia	9
210100	action	9
210100	adapted from:comic	1
210100	adapted from:toy	1
210100	adapted from:tv series	1
210100	aliens	10
210100	android(s)/cyborg(s)	7
210100	anti-government paranoia	1
210100	based on a comic	9
210100	based on a tv show	3
210100	based on a tv show?	1
210100	bd-video	1
210100	bechdel test:fail	2
210100	block	1
210100	boring	2
210100	car chase	2
210100	cgi	1
210100	childish	4
210100	comedy	1
210100	comic book	2
210100	cool	1
210100	crude humor	3
210100	defies logic	2
210100	desert	1
210100	disjointed	1
210100	dogging	1
210100	effects	1
210100	enormously long battle scene	14
210100	erlend's dvds	1
210100	excellent fxs	2
210100	exciting	1
210100	fighter jet planes	1
210100	fios on demand	1
210100	franchise	5
210100	giant robots	17
210100	helicopters	3
210100	high school	2
210100	humanlike robots	1
210100	imax dmr	1
210100	incoherent	2
210100	john turturro	4
210100	jon voigt	2
210100	lowest common denominator	2
210100	man versus machine	10
210100	mechanic	1
210100	megan fox	12
210100	michael bay	16
210100	military	5
210100	movie to see	1
210100	netflix finland	1
210100	nostalgia critic	4
210100	not enough robots	1
210100	oscar nominee: sound	1
210100	oscar nominee: sound editing	1
210100	oscar nominee: visual effects	1
210100	owned	1
210100	perrot library	1
210100	peter cullen	1
210100	raped my childhood	1
210100	related:secret friend	1
210100	rewatchable	1
210100	ridiculous	2
210100	robot	1
210100	robots	30
210100	romance	1
210100	sci-fi	10
210100	scientist	1
210100	screenwriter:alex kurtzman	1
210100	screenwriter:roberto orci	1
210100	secret agent	1
210100	setting:hoover dam	1
210100	sexist	4
210100	shia labeouf	10
210100	silly	6
210100	soundtrack	1
210100	special effects	16
210100	steven spielberg	6
210100	sufficiently explodey to be good	1
210100	teen	9
210100	too busy	1
210100	transformation	10
210100	tyrese gibson	1
210100	ummarti2007	1
210100	us air force	1
210100	us president	2
210100	weak plot	1
220100	abuse of power	1
220100	acting	1
220100	action	23
220100	adapted from:comic	7
220100	adventure	14
220100	afghanistan	8
220100	air force	1
220100	android(s)/cyborg(s)	9
220100	arms dealer	9
220100	bald nemesis	1
220100	based on a comic	19
220100	bd-video	1
220100	bechdel test:fail	4
220100	bechdel test:pass	1
220100	betrayal	3
220100	business	2
220100	business is the antagonist	2
220100	california	1
220100	capitalist protag	2
220100	character growth	2
220100	cheesy	1
220100	cliche	1
220100	comedy	2
220100	comic book	31
220100	comic book adaption	2
220100	dialogue	1
220100	dumb	1
220100	dvd	1
220100	engineering	2
220100	erlend's dvds	1
220100	exoskeleton	2
220100	face mask	1
220100	fast paced	1
220100	florence	1
220100	flying	2
220100	funny	21
220100	gadgets	4
220100	green screen	1
220100	gwyneth paltrow	13
220100	heart problems	2
220100	humor	1
220100	hungarian sentences	1
220100	industrialist	1
220100	inspiring	1
220100	inventor	3
220100	iron man	5
220100	jeff bridges	14
220100	jets	1
220100	jingoistic	1
220100	jon favreau	3
220100	kidnapping	6
220100	live action cartoon	1
220100	malibu	1
220100	marvel	49
220100	marvel cinematic universe	6
220100	mask	1
220100	military	14
220100	military industrial complex	3
220100	mortality	1
220100	movie to see	1
220100	murder	4
220100	no-brainer	1
220100	overrated	1
220100	personal assistant	1
220100	pg-13	1
220100	pg-13:brief suggestive content	1
220100	pg-13:intense sci-fi action and violence	1
220100	playboy	1
220100	predictable	1
220100	product placement	1
220100	pseudo rated	1
220100	rdj	1
220100	redbox	2
220100	reporter	1
220100	ridiculous violence	1
220100	robert downey jr	12
220100	robert downey jr.	55
220100	robotic exoskeleton	2
220100	robotics	2
220100	sci-fi	29
220100	scope	1
220100	script	1
220100	secretary	2
220100	seen 2008	1
220100	seen 2014	1
220100	setting:afghanistan	4
220100	sexuality	2
220100	sheet metal makes you invincible	1
220100	special effects	4
220100	story	1
220100	super hero	3
220100	superhero	74
220100	superheroes	13
220100	technology	21
220100	terrence howard	1
220100	terrorism	1
220100	terrorists	2
220100	the avengers	4
220100	thin story	1
220100	to see	1
220100	tony stark	2
220100	topic:cybernetics	2
220100	torture	9
220100	vigilante	17
220100	visually appealing	9
220100	watch the credits	5
220100	weapons	3
220100	weapons industry	2
240100	1950s	3
240100	absurd	1
240100	action	1
240100	adventure	17
240100	aliens	23
240100	amazon	1
240100	amazon jungle	1
240100	animal:ants;giant (scene)	1
240100	animal:monkey (scene)	1
240100	animal:snake (scene)	1
240100	annoying characters	1
240100	ants	1
240100	archaeology	19
240100	area 51	2
240100	bad writing	3
240100	bd-video	1
240100	bechdel test:fail	1
240100	below r	1
240100	big budget	1
240100	brett northcutt	1
240100	bullshit	1
240100	cate blanchett	5
240100	comedy	1
240100	dirt	1
240100	e.t.	1
240100	el dorado	2
240100	erlend's dvds	1
240100	father-son relationship	3
240100	franchise	2
240100	giant ants	1
240100	good	1
240100	harrison ford	18
240100	indiana jones	21
240100	insane	1
240100	john hurt	1
240100	joseph campbell's study of mythology influenced	1
240100	latin america	1
240100	library setting	1
240100	massacre	1
240100	mccarthyism	1
240100	monkey	1
240100	motorcycle	2
240100	movie to see	1
240100	murder	3
240100	nuclear bomb	5
240100	nuns	1
240100	nuns(scene)	1
240100	peru	1
240100	pg-13	1
240100	pg-13:adventure violence	1
240100	pg-13:scary images	1
240100	plot	1
240100	plot point:solving riddles/puzzles	3
240100	plot twist	2
240100	ridiculous end	7
240100	ridiculous ending	1
240100	ruined	1
240100	ruined the franchise	1
240100	scenic	1
240100	scope	1
240100	scorpion	1
240100	sequel	5
240100	setting:amazon (pathetically unrealistic)	1
240100	setting:area 51	1
240100	shia labeouf	2
240100	silly	10
240100	snake	1
240100	solving riddles/puzzles	1
240100	south america	4
240100	steven spielberg	9
240100	stupid	6
240100	thriller	1
240100	traitor	1
240100	united states	2
240100	whip	1
240100	worse than predecessors	2
270100	action	2
270100	adventure	19
270100	adventure. boats	2
270100	anti-hero	7
270100	big budget	3
270100	bill nighy	2
270100	bob*ola	1
270100	boring	1
270100	boring!	6
270100	brett northcutt	1
270100	cinematographer:dariusz wolski	1
270100	comedy	13
270100	confusing	6
270100	crap	3
270100	disney	1
270100	ending after credits	2
270100	fantasy	1
270100	franchise	2
270100	funny	2
270100	geoffrey rush	6
270100	ghosts/afterlife	4
270100	gore verbinski	2
270100	hilarious	1
270100	jack davenport	3
270100	johnny depp	42
270100	jonathan pryce	1
270100	keira knightley	17
270100	lee arenberg	1
270100	love johnny	1
270100	manipulative	1
270100	mystery	1
270100	need to buy	1
270100	netflix	1
270100	orlando bloom	16
270100	over the top	3
270100	overlong	1
270100	paycheck	1
270100	perrot library	1
270100	pirates	30
270100	pretty bad	2
270100	quirky	6
270100	seafaring	5
270100	seen at the cinema	2
270100	sequel	5
270100	sequels filmed simultaneously	2
270100	soundtrack	2
270100	stupid ending	4
270100	surreal	2
270100	swashbuckler	6
270100	too long	1
270100	too many plot threads	2
270100	torrential downpour	1
270100	treasure	7
270100	watch the credits	2
270100	watched 2007	1
270100	won't bother to watch	1
270100	worse than previous films	1
310100	acting and story	1
310100	adapted from:book	3
310100	addiction	1
310100	adventure	1
310100	alan rickman	19
310100	author:j. k. rowling	3
310100	based on a book	13
310100	better than the book	2
310100	big budget	3
310100	boarding school	4
310100	boring	2
310100	britain	2
310100	comedy	11
310100	coming of age	1
310100	daniel radcliffe	11
310100	david thewlis	1
310100	david yates	5
310100	direction	3
310100	disappointing	15
310100	dvd	1
310100	emma watson	12
310100	ending	4
310100	english	3
310100	erlend's dvds	1
310100	fantasy	25
310100	franchise	6
310100	funny	6
310100	good versus evil	1
310100	harry potter	20
310100	helena bonham carter	9
310100	high school	8
310100	imax dmr 3-d	1
310100	itaege	1
310100	jim broadbent	2
310100	kids	1
310100	lavender brown	2
310100	maggie smith	1
310100	magic	26
310100	magic school	1
310100	michael gambon	3
310100	mtskaf	1
310100	murder	2
310100	no gaunts	1
310100	not as good as the book	1
310100	not true to the book	3
310100	parallel universe	1
310100	robbie coltrane	1
310100	romance	8
310100	rupert grint	2
310100	saturation	1
310100	school life	1
310100	sequel	3
310100	series	2
310100	shorter than the book	4
310100	snape	2
310100	stereoscopic 3-d sequences	1
310100	teenagers	8
310100	thrilling	1
310100	timothy spall	1
310100	tom felton	3
310100	warwick davis	1
310100	when did rupert grint become a man	3
310100	wizards	3
330100	adapted from:book	1
330100	alan rickman	5
330100	author:j. k. rowling	2
330100	based on a book	10
330100	beautiful	1
330100	boarding school	1
330100	broomstick	1
330100	coming of age	1
330100	daniel radcliffe	5
330100	david yates	2
330100	emma thompson	1
330100	emma watson	8
330100	erlend's dvds	1
330100	fantasy	10
330100	fantasy world	1
330100	franchise	3
330100	gary oldman	6
